Year,Mass balance (mm/yr),Mass balance uncertainty (mm/yr),Cumulative mass balance (mm),Cumulative mass balance uncertainty (mm)
1992,-0.08,-0.32,-0.01,-0.09
1992.0833,-0.08,-0.32,-0.01,-0.13
1992.1667,-0.08,-0.32,-0.02,-0.16
1992.25,0.36,-0.29,0.01,-0.18
1992.3333,0.36,-0.29,0.04,-0.2
1992.4167,0.15,-0.24,0.05,-0.21
1992.5,0.15,-0.24,0.07,-0.22
1992.5833,0.15,-0.24,0.08,-0.23
1992.6667,0.15,-0.24,0.09,-0.24
1992.75,0.15,-0.24,0.1,-0.25
1992.8333,0.15,-0.24,0.12,-0.26
1992.9167,0.15,-0.24,0.13,-0.27
1993,0.22,-0.24,0.15,-0.28
1993.0833,0.22,-0.24,0.17,-0.29
1993.1667,0.22,-0.24,0.18,-0.3
1993.25,0.22,-0.24,0.2,-0.3
1993.3333,0.22,-0.24,0.22,-0.31
1993.4167,0.22,-0.24,0.24,-0.32
1993.5,0.22,-0.24,0.26,-0.33
1993.5833,0.22,-0.24,0.28,-0.33
1993.6667,0.22,-0.24,0.3,-0.34
1993.75,0.22,-0.24,0.31,-0.35
1993.8333,0.22,-0.24,0.33,-0.36
1993.9167,0.22,-0.24,0.35,-0.36
1994,0.25,-0.24,0.37,-0.37
1994.0833,0.25,-0.24,0.39,-0.38
1994.1667,0.25,-0.24,0.41,-0.38
1994.25,0.25,-0.24,0.43,-0.39
1994.3333,0.25,-0.24,0.46,-0.39
1994.4167,0.25,-0.24,0.48,-0.4
1994.5,0.25,-0.24,0.5,-0.41
1994.5833,0.25,-0.24,0.52,-0.41
1994.6667,0.25,-0.24,0.54,-0.42
1994.75,0.25,-0.24,0.56,-0.42
1994.8333,0.25,-0.24,0.58,-0.43
1994.9167,0.25,-0.24,0.6,-0.43
1995,0.27,-0.24,0.62,-0.44
1995.0833,0.27,-0.24,0.65,-0.44
1995.1667,0.27,-0.24,0.67,-0.45
1995.25,0.27,-0.24,0.69,-0.46
1995.3333,0.27,-0.24,0.71,-0.46
1995.4167,0.2,-0.24,0.73,-0.47
1995.5,0.2,-0.24,0.75,-0.47
1995.5833,0.2,-0.24,0.76,-0.48
1995.6667,0.2,-0.24,0.78,-0.48
1995.75,0.2,-0.24,0.8,-0.49
1995.8333,0.2,-0.24,0.81,-0.49
1995.9167,0.2,-0.24,0.83,-0.5
1996,0.19,-0.24,0.84,-0.5
1996.0833,0.19,-0.24,0.86,-0.51
1996.1667,0.19,-0.24,0.88,-0.51
1996.25,0.19,-0.24,0.89,-0.52
1996.3333,0.19,-0.24,0.91,-0.52
1996.4167,0.19,-0.24,0.92,-0.52
1996.5,0.1,-0.24,0.93,-0.53
1996.5833,0.1,-0.24,0.94,-0.53
1996.6667,0.1,-0.24,0.95,-0.54
1996.75,0.1,-0.24,0.96,-0.54
1996.8333,0.1,-0.24,0.97,-0.55
1996.9167,0.1,-0.24,0.97,-0.55
1997,0.02,-0.24,0.98,-0.56
1997.0833,0.02,-0.24,0.98,-0.56
1997.1667,0.02,-0.24,0.98,-0.56
1997.25,0.02,-0.24,0.98,-0.57
1997.3333,0.02,-0.24,0.98,-0.57
1997.4167,0.02,-0.24,0.99,-0.58
1997.5,0.02,-0.24,0.99,-0.58
1997.5833,0.02,-0.24,0.99,-0.59
1997.6667,0.02,-0.24,0.99,-0.59
1997.75,0.02,-0.24,0.99,-0.59
1997.8333,0.02,-0.24,0.99,-0.6
1997.9167,0.02,-0.24,1,-0.6
1998,0.04,-0.24,1,-0.61
1998.0833,0.04,-0.24,1,-0.61
1998.1667,0.04,-0.24,1,-0.61
1998.25,0.04,-0.24,1.01,-0.62
1998.3333,0.04,-0.24,1.01,-0.62
1998.4167,0.04,-0.24,1.01,-0.62
1998.5,0.04,-0.24,1.02,-0.63
1998.5833,0.04,-0.24,1.02,-0.63
1998.6667,0.04,-0.24,1.02,-0.64
1998.75,0.04,-0.24,1.03,-0.64
1998.8333,0.04,-0.24,1.03,-0.64
1998.9167,0.04,-0.24,1.03,-0.65
1999,0.06,-0.24,1.04,-0.65
1999.0833,0.06,-0.24,1.04,-0.66
1999.1667,0.06,-0.24,1.05,-0.66
1999.25,0.06,-0.24,1.05,-0.66
1999.3333,0.06,-0.24,1.06,-0.67
1999.4167,0.06,-0.24,1.06,-0.67
1999.5,0.06,-0.24,1.07,-0.67
1999.5833,0.06,-0.24,1.07,-0.68
1999.6667,0.06,-0.24,1.08,-0.68
1999.75,0.06,-0.24,1.08,-0.68
1999.8333,0.06,-0.24,1.08,-0.69
1999.9167,0.06,-0.24,1.09,-0.69
2000,0.07,-0.24,1.1,-0.7
2000.0833,0.07,-0.24,1.1,-0.7
2000.1667,0.07,-0.24,1.11,-0.7
2000.25,0.07,-0.24,1.11,-0.71
2000.3333,0.07,-0.24,1.12,-0.71
2000.4167,0.07,-0.24,1.12,-0.71
2000.5,0.07,-0.24,1.13,-0.72
2000.5833,0.07,-0.24,1.13,-0.72
2000.6667,0.07,-0.24,1.14,-0.72
2000.75,0.07,-0.24,1.15,-0.73
2000.8333,0.07,-0.24,1.15,-0.73
2000.9167,0.07,-0.24,1.16,-0.73
2001,0.09,-0.24,1.16,-0.73
2001.0833,0.09,-0.24,1.17,-0.74
2001.1667,0.09,-0.24,1.18,-0.74
2001.25,0.09,-0.24,1.19,-0.74
2001.3333,0.09,-0.24,1.19,-0.75
2001.4167,0.09,-0.24,1.2,-0.75
2001.5,0.09,-0.24,1.21,-0.75
2001.5833,0.09,-0.24,1.22,-0.76
2001.6667,0.09,-0.24,1.22,-0.76
2001.75,0.09,-0.24,1.23,-0.76
2001.8333,0.09,-0.24,1.24,-0.77
2001.9167,0.09,-0.24,1.24,-0.77
2002,0.07,-0.24,1.25,-0.77
2002.0833,0.07,-0.24,1.26,-0.78
2002.1667,0.07,-0.24,1.26,-0.78
2002.25,0.07,-0.24,1.27,-0.78
2002.3333,0.07,-0.24,1.27,-0.78
2002.4167,0.1,-0.24,1.28,-0.79
2002.5,0.1,-0.24,1.29,-0.79
2002.5833,0.1,-0.23,1.3,-0.79
2002.6667,0.1,-0.23,1.31,-0.8
2002.75,0.1,-0.23,1.32,-0.8
2002.8333,0.1,-0.23,1.33,-0.8
2002.9167,0.1,-0.23,1.33,-0.8
2003,0.18,-0.26,1.35,-0.81
2003.0833,0.19,-0.26,1.36,-0.81
2003.1667,0.19,-0.26,1.38,-0.82
2003.25,0.19,-0.26,1.4,-0.82
2003.3333,0.18,-0.26,1.41,-0.82
2003.4167,0.18,-0.26,1.43,-0.83
2003.5,0.18,-0.26,1.44,-0.83
2003.5833,0.2,-0.26,1.46,-0.83
2003.6667,0.2,-0.26,1.47,-0.84
2003.75,0.22,-0.26,1.49,-0.84
2003.8333,0.22,-0.26,1.51,-0.84
2003.9167,0.22,-0.25,1.53,-0.85
2004,0.21,-0.26,1.55,-0.85
2004.0833,0.2,-0.26,1.56,-0.85
2004.1667,0.2,-0.26,1.58,-0.86
2004.25,0.2,-0.26,1.6,-0.86
2004.3333,0.19,-0.26,1.61,-0.86
2004.4167,0.18,-0.26,1.63,-0.87
2004.5,0.18,-0.26,1.64,-0.87
2004.5833,0.18,-0.26,1.66,-0.87
2004.6667,0.18,-0.26,1.67,-0.88
2004.75,0.18,-0.26,1.69,-0.88
2004.8333,0.18,-0.26,1.7,-0.88
2004.9167,0.17,-0.26,1.72,-0.88
2005,0.17,-0.26,1.73,-0.89
2005.0833,0.17,-0.25,1.75,-0.89
2005.1667,0.16,-0.25,1.76,-0.89
2005.25,0.15,-0.25,1.77,-0.9
2005.3333,0.15,-0.25,1.78,-0.9
2005.4167,0.14,-0.25,1.79,-0.9
2005.5,0.14,-0.25,1.81,-0.91
2005.5833,0.15,-0.25,1.82,-0.91
2005.6667,0.16,-0.25,1.83,-0.91
2005.75,0.17,-0.26,1.85,-0.91
2005.8333,0.18,-0.26,1.86,-0.92
2005.9167,0.17,-0.26,1.88,-0.92
2006,0.21,-0.26,1.89,-0.92
2006.0833,0.22,-0.26,1.91,-0.93
2006.1667,0.22,-0.26,1.93,-0.93
2006.25,0.21,-0.26,1.95,-0.93
2006.3333,0.21,-0.26,1.96,-0.94
2006.4167,0.22,-0.26,1.98,-0.94
2006.5,0.23,-0.26,2,-0.94
2006.5833,0.24,-0.26,2.02,-0.94
2006.6667,0.25,-0.26,2.04,-0.95
2006.75,0.26,-0.26,2.07,-0.95
2006.8333,0.27,-0.26,2.09,-0.95
2006.9167,0.28,-0.26,2.11,-0.96
2007,0.3,-0.25,2.14,-0.96
2007.0833,0.31,-0.25,2.16,-0.96
2007.1667,0.32,-0.25,2.19,-0.96
2007.25,0.32,-0.25,2.22,-0.97
2007.3333,0.32,-0.25,2.24,-0.97
2007.4167,0.31,-0.25,2.27,-0.97
2007.5,0.31,-0.25,2.3,-0.98
2007.5833,0.32,-0.25,2.32,-0.98
2007.6667,0.32,-0.25,2.35,-0.98
2007.75,0.32,-0.25,2.38,-0.98
2007.8333,0.32,-0.26,2.4,-0.99
2007.9167,0.32,-0.26,2.43,-0.99
2008,0.32,-0.26,2.46,-0.99
2008.0833,0.32,-0.27,2.48,-0.99
2008.1667,0.31,-0.28,2.51,-1
2008.25,0.3,-0.28,2.53,-1
2008.3333,0.3,-0.28,2.56,-1
2008.4167,0.3,-0.28,2.58,-1.01
2008.5,0.29,-0.28,2.61,-1.01
2008.5833,0.3,-0.29,2.63,-1.01
2008.6667,0.3,-0.29,2.66,-1.02
2008.75,0.3,-0.29,2.68,-1.02
2008.8333,0.33,-0.28,2.71,-1.02
2008.9167,0.32,-0.28,2.74,-1.03
2009,0.3,-0.29,2.76,-1.03
2009.0833,0.3,-0.3,2.79,-1.03
2009.1667,0.3,-0.3,2.81,-1.04
2009.25,0.29,-0.29,2.84,-1.04
2009.3333,0.29,-0.29,2.86,-1.05
2009.4167,0.3,-0.29,2.89,-1.05
2009.5,0.3,-0.3,2.91,-1.05
2009.5833,0.31,-0.3,2.94,-1.06
2009.6667,0.31,-0.3,2.96,-1.06
2009.75,0.32,-0.31,2.99,-1.06
2009.8333,0.32,-0.3,3.02,-1.07
2009.9167,0.33,-0.31,3.04,-1.07
2010,0.38,-0.3,3.07,-1.07
2010.0833,0.39,-0.3,3.11,-1.08
2010.1667,0.39,-0.3,3.14,-1.08
2010.25,0.38,-0.3,3.17,-1.08
2010.3333,0.37,-0.29,3.2,-1.09
2010.4167,0.37,-0.29,3.23,-1.09
2010.5,0.37,-0.29,3.26,-1.09
2010.5833,0.43,-0.27,3.3,-1.1
2010.6667,0.43,-0.27,3.33,-1.1
2010.75,0.43,-0.27,3.37,-1.1
2010.8333,0.43,-0.27,3.41,-1.11
2010.9167,0.43,-0.26,3.44,-1.11
2011,0.5,-0.26,3.48,-1.11
2011.0833,0.5,-0.26,3.52,-1.11
2011.1667,0.49,-0.26,3.57,-1.12
2011.25,0.48,-0.26,3.61,-1.12
2011.3333,0.48,-0.26,3.64,-1.12
2011.4167,0.47,-0.26,3.68,-1.12
2011.5,0.46,-0.27,3.72,-1.13
2011.5833,0.47,-0.26,3.76,-1.13
2011.6667,0.47,-0.26,3.8,-1.13
2011.75,0.47,-0.27,3.84,-1.13
2011.8333,0.46,-0.28,3.88,-1.14
2011.9167,0.46,-0.28,3.92,-1.14
2012,0.43,-0.29,3.95,-1.14
2012.0833,0.43,-0.29,3.99,-1.15
2012.1667,0.43,-0.28,4.02,-1.15
2012.25,0.43,-0.28,4.06,-1.15
2012.3333,0.48,-0.27,4.1,-1.15
2012.4167,0.48,-0.26,4.14,-1.16
2012.5,0.47,-0.25,4.18,-1.16
2012.5833,0.48,-0.26,4.22,-1.16
2012.6667,0.48,-0.26,4.26,-1.16
2012.75,0.49,-0.26,4.3,-1.17
2012.8333,0.49,-0.25,4.34,-1.17
2012.9167,0.5,-0.25,4.38,-1.17
2013,0.52,-0.25,4.43,-1.17
2013.0833,0.52,-0.25,4.47,-1.17
2013.1667,0.53,-0.25,4.51,-1.18
2013.25,0.52,-0.25,4.56,-1.18
2013.3333,0.51,-0.26,4.6,-1.18
2013.4167,0.51,-0.26,4.64,-1.18
2013.5,0.51,-0.26,4.69,-1.19
2013.5833,0.51,-0.26,4.73,-1.19
2013.6667,0.52,-0.26,4.77,-1.19
2013.75,0.53,-0.26,4.81,-1.19
2013.8333,0.53,-0.27,4.86,-1.2
2013.9167,0.53,-0.27,4.9,-1.2
2014,0.55,-0.26,4.95,-1.2
2014.0833,0.56,-0.25,5,-1.2
2014.1667,0.56,-0.25,5.04,-1.21
2014.25,0.55,-0.25,5.09,-1.21
2014.3333,0.55,-0.25,5.13,-1.21
2014.4167,0.55,-0.25,5.18,-1.21
2014.5,0.55,-0.25,5.23,-1.21
2014.5833,0.56,-0.25,5.27,-1.22
2014.6667,0.57,-0.25,5.32,-1.22
2014.75,0.56,-0.25,5.37,-1.22
2014.8333,0.56,-0.25,5.41,-1.22
2014.9167,0.56,-0.25,5.46,-1.22
2015,0.4,-0.25,5.49,-1.23
2015.0833,0.37,-0.26,5.53,-1.23
2015.1667,0.36,-0.26,5.56,-1.23
2015.25,0.36,-0.27,5.59,-1.23
2015.3333,0.36,-0.27,5.62,-1.24
2015.4167,0.35,-0.27,5.65,-1.24
2015.5,0.34,-0.27,5.67,-1.24
2015.5833,0.35,-0.27,5.7,-1.24
2015.6667,0.35,-0.27,5.73,-1.25
2015.75,0.35,-0.28,5.76,-1.25
2015.8333,0.34,-0.29,5.79,-1.25
2015.9167,0.34,-0.28,5.82,-1.25
2016,0.21,-0.29,5.83,-1.26
2016.0833,0.21,-0.29,5.85,-1.26
2016.1667,0.2,-0.29,5.87,-1.26
2016.25,0.19,-0.28,5.89,-1.27
2016.3333,0.18,-0.28,5.9,-1.27
2016.4167,0.17,-0.27,5.91,-1.27
2016.5,0.17,-0.27,5.93,-1.27
2016.5833,0.17,-0.28,5.94,-1.28
2016.6667,0.16,-0.28,5.96,-1.28
2016.75,0.16,-0.28,5.97,-1.28
2016.8333,0.15,-0.28,5.98,-1.28
2016.9167,0.15,-0.28,5.99,-1.29
2017,0.24,-0.29,6.01,-1.29
2017.0833,0.25,-0.3,6.03,-1.29
2017.1667,0.25,-0.3,6.06,-1.29
2017.25,0.25,-0.3,6.08,-1.3
2017.3333,0.16,-0.3,6.09,-1.3
2017.4167,0.17,-0.3,6.1,-1.3
2017.5,0.18,-0.3,6.12,-1.31
2017.5833,0.2,-0.3,6.14,-1.31
2017.6667,0.21,-0.3,6.15,-1.31
2017.75,0.21,-0.29,6.17,-1.31
2017.8333,0.21,-0.3,6.19,-1.32
2017.9167,0.22,-0.29,6.21,-1.32
2018,0.44,-0.3,6.24,-1.32
2018.0833,0.43,-0.3,6.28,-1.33
2018.1667,0.41,-0.29,6.31,-1.33
2018.25,0.41,-0.3,6.35,-1.33
2018.3333,0.4,-0.3,6.38,-1.33
2018.4167,0.41,-0.3,6.42,-1.34
2018.5,0.41,-0.3,6.45,-1.34
2018.5833,0.57,-0.32,6.5,-1.34
2018.6667,0.58,-0.33,6.54,-1.35
2018.75,0.59,-0.32,6.59,-1.35
2018.8333,0.6,-0.32,6.64,-1.35
2018.9167,0.6,-0.32,6.69,-1.35
2019,0.61,-0.35,6.75,-1.36
2019.0833,0.49,-0.36,6.79,-1.36
2019.1667,0.45,-0.38,6.82,-1.37
2019.25,0.45,-0.38,6.86,-1.37
2019.3333,0.45,-0.38,6.9,-1.38
2019.4167,0.45,-0.38,6.94,-1.38
2019.5,0.45,-0.38,6.97,-1.38
2019.5833,0.45,-0.38,7.01,-1.39
2019.6667,0.45,-0.38,7.05,-1.39
2019.75,0.45,-0.38,7.09,-1.4
