Year,Mass balance (mm/yr),Mass balance uncertainty (mm/yr),Cumulative mass balance (mm),Cumulative mass balance uncertainty (mm)
1992,0.02,-0.16,0,-0.05
1992.0833,0.02,-0.16,0,-0.06
1992.1667,0.02,-0.16,0.01,-0.08
1992.25,0.02,-0.16,0.01,-0.09
1992.3333,0.02,-0.16,0.01,-0.1
1992.4167,0.02,-0.16,0.01,-0.11
1992.5,0.02,-0.16,0.01,-0.12
1992.5833,0.02,-0.16,0.01,-0.13
1992.6667,0.02,-0.16,0.02,-0.14
1992.75,0.02,-0.16,0.02,-0.14
1992.8333,0.02,-0.16,0.02,-0.15
1992.9167,0.02,-0.16,0.02,-0.16
1993,0.07,-0.16,0.03,-0.16
1993.0833,0.07,-0.16,0.03,-0.17
1993.1667,0.07,-0.16,0.04,-0.18
1993.25,0.07,-0.16,0.04,-0.18
1993.3333,0.07,-0.16,0.05,-0.19
1993.4167,0.07,-0.16,0.06,-0.19
1993.5,0.07,-0.16,0.06,-0.2
1993.5833,0.07,-0.16,0.07,-0.2
1993.6667,0.07,-0.16,0.07,-0.21
1993.75,0.07,-0.16,0.08,-0.21
1993.8333,0.07,-0.16,0.08,-0.22
1993.9167,0.07,-0.16,0.09,-0.22
1994,0.3,-0.16,0.11,-0.23
1994.0833,0.3,-0.16,0.14,-0.23
1994.1667,0.3,-0.16,0.16,-0.24
1994.25,0.3,-0.16,0.19,-0.24
1994.3333,0.3,-0.16,0.21,-0.24
1994.4167,0.3,-0.16,0.24,-0.25
1994.5,0.3,-0.16,0.26,-0.25
1994.5833,0.3,-0.16,0.29,-0.26
1994.6667,0.3,-0.16,0.31,-0.26
1994.75,0.3,-0.16,0.34,-0.26
1994.8333,0.3,-0.16,0.36,-0.27
1994.9167,0.3,-0.16,0.38,-0.27
1995,0.13,-0.22,0.39,-0.28
1995.0833,0.13,-0.22,0.41,-0.29
1995.1667,0.13,-0.22,0.42,-0.29
1995.25,0.13,-0.22,0.43,-0.3
1995.3333,0.13,-0.22,0.44,-0.3
1995.4167,0.13,-0.22,0.45,-0.31
1995.5,0.13,-0.22,0.46,-0.32
1995.5833,0.13,-0.22,0.47,-0.32
1995.6667,0.13,-0.22,0.48,-0.33
1995.75,0.13,-0.22,0.49,-0.34
1995.8333,0.13,-0.22,0.5,-0.34
1995.9167,0.13,-0.22,0.51,-0.35
1996,-0.02,-0.22,0.51,-0.35
1996.0833,-0.02,-0.22,0.51,-0.36
1996.1667,-0.02,-0.22,0.5,-0.36
1996.25,-0.02,-0.22,0.5,-0.37
1996.3333,-0.02,-0.22,0.5,-0.37
1996.4167,-0.02,-0.22,0.5,-0.38
1996.5,-0.02,-0.22,0.5,-0.38
1996.5833,-0.02,-0.22,0.5,-0.39
1996.6667,-0.02,-0.22,0.49,-0.39
1996.75,-0.02,-0.22,0.49,-0.4
1996.8333,-0.02,-0.22,0.49,-0.4
1996.9167,-0.02,-0.22,0.49,-0.41
1997,0.01,-0.22,0.49,-0.41
1997.0833,0.01,-0.22,0.49,-0.42
1997.1667,0.01,-0.22,0.49,-0.42
1997.25,0.01,-0.22,0.49,-0.43
1997.3333,0.01,-0.22,0.49,-0.43
1997.4167,0.01,-0.22,0.49,-0.44
1997.5,0.01,-0.22,0.5,-0.44
1997.5833,0.01,-0.22,0.5,-0.45
1997.6667,0.01,-0.22,0.5,-0.45
1997.75,0.01,-0.22,0.5,-0.46
1997.8333,0.01,-0.22,0.5,-0.46
1997.9167,0.01,-0.22,0.5,-0.47
1998,0.15,-0.22,0.51,-0.47
1998.0833,0.15,-0.22,0.53,-0.47
1998.1667,0.15,-0.22,0.54,-0.48
1998.25,0.15,-0.22,0.55,-0.48
1998.3333,0.15,-0.22,0.56,-0.49
1998.4167,0.15,-0.22,0.58,-0.49
1998.5,0.15,-0.22,0.59,-0.5
1998.5833,0.15,-0.22,0.6,-0.5
1998.6667,0.15,-0.22,0.61,-0.5
1998.75,0.15,-0.22,0.63,-0.51
1998.8333,0.15,-0.22,0.64,-0.51
1998.9167,0.15,-0.22,0.65,-0.52
1999,0.21,-0.22,0.67,-0.52
1999.0833,0.21,-0.22,0.69,-0.52
1999.1667,0.21,-0.22,0.7,-0.53
1999.25,0.21,-0.22,0.72,-0.53
1999.3333,0.21,-0.22,0.74,-0.54
1999.4167,0.21,-0.22,0.76,-0.54
1999.5,0.21,-0.22,0.77,-0.54
1999.5833,0.21,-0.22,0.79,-0.55
1999.6667,0.21,-0.22,0.81,-0.55
1999.75,0.21,-0.22,0.82,-0.55
1999.8333,0.21,-0.22,0.84,-0.56
1999.9167,0.21,-0.22,0.86,-0.56
2000,0.08,-0.22,0.87,-0.57
2000.0833,0.08,-0.22,0.87,-0.57
2000.1667,0.08,-0.22,0.88,-0.57
2000.25,0.08,-0.22,0.89,-0.58
2000.3333,0.08,-0.22,0.89,-0.58
2000.4167,0.08,-0.22,0.9,-0.58
2000.5,0.08,-0.22,0.91,-0.59
2000.5833,0.08,-0.22,0.91,-0.59
2000.6667,0.08,-0.22,0.92,-0.59
2000.75,0.08,-0.22,0.93,-0.6
2000.8333,0.08,-0.22,0.93,-0.6
2000.9167,0.08,-0.22,0.94,-0.6
2001,0.21,-0.22,0.96,-0.61
2001.0833,0.21,-0.22,0.98,-0.61
2001.1667,0.21,-0.22,0.99,-0.61
2001.25,0.21,-0.22,1.01,-0.62
2001.3333,0.21,-0.22,1.03,-0.62
2001.4167,0.21,-0.22,1.05,-0.62
2001.5,0.21,-0.22,1.06,-0.63
2001.5833,0.21,-0.22,1.08,-0.63
2001.6667,0.21,-0.22,1.1,-0.63
2001.75,0.21,-0.22,1.12,-0.64
2001.8333,0.21,-0.22,1.14,-0.64
2001.9167,0.21,-0.22,1.15,-0.64
