reg,time,area,dh,err_dh,dvol,err_dvol,dm,err_dm,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,area_nodata
1,2000-01-01,86725053000.0,0.0,0.245,0.0,21271028335.0,0.0,18.0804,0.983,0.99,0.0,0.22,17684000.0
1,2000-01-31,86725053000.0,0.11,,9524444739.0,,8.0958,,0.983,0.99,0.0,0.0,17684000.0
1,2000-03-02,86725053000.0,0.221,,19138871126.0,,16.268,,0.983,0.99,0.0,0.0,17684000.0
1,2000-04-01,86725053000.0,0.32,,27751428806.0,,23.5887,,0.983,0.99,0.0,0.0,17684000.0
1,2000-05-02,86725053000.0,0.359,,31170190147.0,,26.4947,,0.983,0.99,0.0,0.0,17684000.0
1,2000-06-01,86725053000.0,0.283,,24511247193.0,,20.8346,,0.983,0.99,0.08,0.0,17684000.0
1,2000-07-02,86725053000.0,0.053,,4616441745.0,,3.924,,0.983,0.99,0.05,0.0,17684000.0
1,2000-08-01,86725053000.0,-0.303,,-26245207103.0,,-22.3084,,0.983,0.99,0.02,0.0,17684000.0
1,2000-09-01,86725053000.0,-0.654,,-56760396901.0,,-48.2463,,0.983,0.99,0.05,0.0,17684000.0
1,2000-10-01,86725053000.0,-0.842,,-73013695417.0,,-62.0616,,0.983,0.99,0.07,0.0,17684000.0
1,2000-10-31,86725053000.0,-0.83,,-71938773571.0,,-61.148,,0.983,0.99,0.0,0.0,17684000.0
1,2000-12-01,86725053000.0,-0.716,,-62101277419.0,,-52.7861,,0.983,0.99,0.0,0.0,17684000.0
1,2000-12-31,86725053000.0,-0.595,0.181,-51598566157.0,15790837922.0,-43.8588,13.7746,0.983,0.99,0.0,0.55,17684000.0
1,2001-01-31,86725053000.0,-0.485,,-42064408684.0,,-35.7547,,0.983,0.99,0.03,0.0,17684000.0
1,2001-03-02,86725053000.0,-0.373,,-32387510874.0,,-27.5294,,0.983,0.99,0.02,0.0,17684000.0
1,2001-04-02,86725053000.0,-0.273,,-23671508185.0,,-20.1208,,0.983,0.99,0.07,0.0,17684000.0
1,2001-05-02,86725053000.0,-0.232,,-20130789453.0,,-17.1112,,0.983,0.99,0.01,0.0,17684000.0
1,2001-06-01,86725053000.0,-0.307,,-26639644560.0,,-22.6437,,0.983,0.99,0.2,0.0,17684000.0
1,2001-07-02,86725053000.0,-0.534,,-46322009968.0,,-39.3737,,0.983,0.99,0.03,0.0,17684000.0
1,2001-08-01,86725053000.0,-0.887,,-76921276142.0,,-65.3831,,0.983,0.99,0.03,0.0,17684000.0
1,2001-09-01,86725053000.0,-1.236,,-107189744713.0,,-91.1113,,0.983,0.99,0.1,0.0,17684000.0
1,2001-10-01,86725053000.0,-1.421,,-123256269786.0,,-104.7678,,0.983,0.99,0.04,0.0,17684000.0
1,2001-11-01,86725053000.0,-1.408,,-122073640136.0,,-103.7626,,0.983,0.99,0.15,0.0,17684000.0
1,2001-12-01,86725053000.0,-1.294,,-112210935200.0,,-95.3793,,0.983,0.99,0.05,0.0,17684000.0
1,2002-01-01,86725053000.0,-1.173,0.146,-101759221505.0,13265681756.0,-86.4953,12.8227,0.983,0.99,0.0,0.49,17684000.0
1,2002-01-31,86725053000.0,-1.065,,-92357541603.0,,-78.5039,,0.983,0.99,0.01,0.0,17684000.0
1,2002-03-02,86725053000.0,-0.956,,-82917804130.0,,-70.4801,,0.983,0.99,0.28,0.0,17684000.0
1,2002-04-02,86725053000.0,-0.86,,-74575595397.0,,-63.3893,,0.983,0.99,0.08,0.0,17684000.0
1,2002-05-02,86725053000.0,-0.825,,-71552987056.0,,-60.82,,0.983,0.99,0.18,0.0,17684000.0
1,2002-06-02,86725053000.0,-0.907,,-78687181623.0,,-66.8841,,0.983,0.99,0.01,0.0,17684000.0
1,2002-07-02,86725053000.0,-1.142,,-99049602875.0,,-84.1922,,0.983,0.99,0.03,0.0,17684000.0
1,2002-08-02,86725053000.0,-1.503,,-130380315214.0,,-110.8233,,0.983,0.99,0.09,0.0,17684000.0
1,2002-09-01,86725053000.0,-1.862,,-161482598567.0,,-137.2602,,0.983,0.99,0.03,0.0,17684000.0
1,2002-10-01,86725053000.0,-2.058,,-178515826141.0,,-151.7385,,0.983,0.99,0.0,0.0,17684000.0
1,2002-11-01,86725053000.0,-2.057,,-178409078473.0,,-151.6477,,0.983,0.99,0.09,0.0,17684000.0
1,2002-12-01,86725053000.0,-1.956,,-169666316002.0,,-144.2164,,0.983,0.99,0.0,0.0,17684000.0
1,2003-01-01,86725053000.0,-1.849,0.122,-160330468921.0,12207229217.0,-136.2809,14.1494,0.983,0.99,0.01,0.64,17684000.0
1,2003-01-31,86725053000.0,-1.753,,-152019805403.0,,-129.2168,,0.983,0.99,0.11,0.0,17684000.0
1,2003-03-03,86725053000.0,-1.656,,-143612707927.0,,-122.0708,,0.983,0.99,0.01,0.0,17684000.0
1,2003-04-02,86725053000.0,-1.57,,-136176645501.0,,-115.7501,,0.983,0.99,0.1,0.0,17684000.0
1,2003-05-03,86725053000.0,-1.544,,-133870616952.0,,-113.79,,0.983,0.99,0.18,0.0,17684000.0
1,2003-06-02,86725053000.0,-1.632,,-141529917304.0,,-120.3004,,0.983,0.99,0.06,0.0,17684000.0
1,2003-07-02,86725053000.0,-1.871,,-162275935160.0,,-137.9345,,0.983,0.99,0.13,0.0,17684000.0
1,2003-08-02,86725053000.0,-2.236,,-193898900792.0,,-164.8141,,0.983,0.99,0.17,0.0,17684000.0
1,2003-09-01,86725053000.0,-2.597,,-225221245362.0,,-191.4381,,0.983,0.99,0.15,0.0,17684000.0
1,2003-10-02,86725053000.0,-2.795,,-242412966189.0,,-206.051,,0.983,0.99,0.1,0.0,17684000.0
1,2003-11-01,86725053000.0,-2.795,,-242431259094.0,,-206.0666,,0.983,0.99,0.0,0.0,17684000.0
1,2003-12-02,86725053000.0,-2.696,,-233817083170.0,,-198.7445,,0.983,0.99,0.0,0.0,17684000.0
1,2004-01-01,86725053000.0,-2.59,0.112,-224621236781.0,12996667364.0,-190.9281,17.4263,0.983,0.99,0.07,0.6,17684000.0
1,2004-01-31,86725053000.0,-2.496,,-216457898591.0,,-183.9892,,0.983,0.99,0.07,0.0,17684000.0
1,2004-03-02,86725053000.0,-2.401,,-208202964540.0,,-176.9725,,0.983,0.99,0.15,0.0,17684000.0
1,2004-04-01,86725053000.0,-2.317,,-200909619155.0,,-170.7732,,0.983,0.99,0.1,0.0,17684000.0
1,2004-05-02,86725053000.0,-2.291,,-198726240129.0,,-168.9173,,0.983,0.99,0.17,0.0,17684000.0
1,2004-06-01,86725053000.0,-2.381,,-206501896392.0,,-175.5266,,0.983,0.99,0.09,0.0,17684000.0
1,2004-07-02,86725053000.0,-2.622,,-227370906831.0,,-193.2653,,0.983,0.99,0.12,0.0,17684000.0
1,2004-08-01,86725053000.0,-2.988,,-259111653684.0,,-220.2449,,0.983,0.99,0.23,0.0,17684000.0
1,2004-09-01,86725053000.0,-3.35,,-290550389373.0,,-246.9678,,0.983,0.99,0.03,0.0,17684000.0
1,2004-10-01,86725053000.0,-3.55,,-307905405799.0,,-261.7196,,0.983,0.99,0.05,0.0,17684000.0
1,2004-10-31,86725053000.0,-3.554,,-308177924875.0,,-261.9512,,0.983,0.99,0.0,0.0,17684000.0
1,2004-12-01,86725053000.0,-3.458,,-299892194197.0,,-254.9084,,0.983,0.99,0.0,0.0,17684000.0
1,2004-12-31,86725053000.0,-3.356,0.131,-291053177477.0,15913048095.0,-247.3952,22.0889,0.983,0.99,0.04,0.47,17684000.0
1,2005-01-31,86725053000.0,-3.266,,-283248148938.0,,-240.7609,,0.983,0.99,0.05,0.0,17684000.0
1,2005-03-02,86725053000.0,-3.175,,-275320873052.0,,-234.0227,,0.983,0.99,0.15,0.0,17684000.0
1,2005-04-02,86725053000.0,-3.093,,-268281864128.0,,-228.0396,,0.983,0.99,0.13,0.0,17684000.0
1,2005-05-02,86725053000.0,-3.07,,-266270816287.0,,-226.3302,,0.983,0.99,0.15,0.0,17684000.0
1,2005-06-01,86725053000.0,-3.161,,-274149996465.0,,-233.0275,,0.983,0.99,0.06,0.0,17684000.0
1,2005-07-02,86725053000.0,-3.402,,-295054773330.0,,-250.7966,,0.983,0.99,0.05,0.0,17684000.0
1,2005-08-01,86725053000.0,-3.768,,-326771489028.0,,-277.7558,,0.983,0.99,0.15,0.0,17684000.0
1,2005-09-01,86725053000.0,-4.13,,-358150883667.0,,-304.4283,,0.983,0.99,0.02,0.0,17684000.0
1,2005-10-01,86725053000.0,-4.329,,-375432872784.0,,-319.1179,,0.983,0.99,0.03,0.0,17684000.0
1,2005-11-01,86725053000.0,-4.331,,-375623613907.0,,-319.2801,,0.983,0.99,0.09,0.0,17684000.0
1,2005-12-01,86725053000.0,-4.234,,-367236499455.0,,-312.151,,0.983,0.99,0.01,0.0,17684000.0
1,2006-01-01,86725053000.0,-4.131,0.106,-358269996891.0,16489985930.0,-304.5295,25.6622,0.983,0.99,0.08,0.75,17684000.0
1,2006-01-31,86725053000.0,-4.039,,-350304981879.0,,-297.7592,,0.983,0.99,0.19,0.0,17684000.0
1,2006-03-02,86725053000.0,-3.945,,-342159230418.0,,-290.8353,,0.983,0.99,0.23,0.0,17684000.0
1,2006-04-02,86725053000.0,-3.861,,-334828173656.0,,-284.6039,,0.983,0.99,0.3,0.0,17684000.0
1,2006-05-02,86725053000.0,-3.834,,-332487276183.0,,-282.6142,,0.983,0.99,0.26,0.0,17684000.0
1,2006-06-02,86725053000.0,-3.921,,-340045146790.0,,-289.0384,,0.983,0.99,0.07,0.0,17684000.0
1,2006-07-02,86725053000.0,-4.158,,-360644978710.0,,-306.5482,,0.983,0.99,0.06,0.0,17684000.0
1,2006-08-02,86725053000.0,-4.521,,-392070742332.0,,-333.2601,,0.983,0.99,0.17,0.0,17684000.0
1,2006-09-01,86725053000.0,-4.88,,-423198558283.0,,-359.7188,,0.983,0.99,0.04,0.0,17684000.0
1,2006-10-01,86725053000.0,-5.077,,-440282995578.0,,-374.2405,,0.983,0.99,0.04,0.0,17684000.0
1,2006-11-01,86725053000.0,-5.077,,-440323792187.0,,-374.2752,,0.983,0.99,0.03,0.0,17684000.0
1,2006-12-01,86725053000.0,-4.979,,-431837950407.0,,-367.0623,,0.983,0.99,0.01,0.0,17684000.0
1,2007-01-01,86725053000.0,-4.875,0.138,-422826688836.0,20125363108.0,-359.4027,30.5982,0.983,0.99,0.04,0.38,17684000.0
1,2007-01-31,86725053000.0,-4.784,,-414868504195.0,,-352.6382,,0.983,0.99,0.08,0.0,17684000.0
1,2007-03-03,86725053000.0,-4.691,,-406786948280.0,,-345.7689,,0.983,0.99,0.19,0.0,17684000.0
1,2007-04-02,86725053000.0,-4.607,,-399579539469.0,,-339.6426,,0.983,0.99,0.09,0.0,17684000.0
1,2007-05-03,86725053000.0,-4.582,,-397392849192.0,,-337.7839,,0.983,0.99,0.07,0.0,17684000.0
1,2007-06-02,86725053000.0,-4.671,,-405098978299.0,,-344.3341,,0.983,0.99,0.03,0.0,17684000.0
1,2007-07-02,86725053000.0,-4.91,,-425832408628.0,,-361.9575,,0.983,0.99,0.01,0.0,17684000.0
1,2007-08-02,86725053000.0,-5.274,,-457379998818.0,,-388.773,,0.983,0.99,0.02,0.0,17684000.0
1,2007-09-01,86725053000.0,-5.634,,-488646029661.0,,-415.3491,,0.983,0.99,0.02,0.0,17684000.0
1,2007-10-02,86725053000.0,-5.834,,-505943023070.0,,-430.0516,,0.983,0.99,0.0,0.0,17684000.0
1,2007-11-01,86725053000.0,-5.838,,-506288952195.0,,-430.3456,,0.983,0.99,0.01,0.0,17684000.0
1,2007-12-02,86725053000.0,-5.744,,-498163520397.0,,-423.439,,0.983,0.99,0.0,0.0,17684000.0
1,2008-01-01,86725053000.0,-5.645,0.209,-489528478890.0,26069901704.0,-416.0992,36.7932,0.983,0.99,0.0,0.24,17684000.0
1,2008-01-31,86725053000.0,-5.557,,-481958160565.0,,-409.6644,,0.983,0.99,0.01,0.0,17684000.0
1,2008-03-02,86725053000.0,-5.469,,-474295867661.0,,-403.1515,,0.983,0.99,0.06,0.0,17684000.0
1,2008-04-01,86725053000.0,-5.391,,-467533716087.0,,-397.4037,,0.983,0.99,0.03,0.0,17684000.0
1,2008-05-02,86725053000.0,-5.371,,-465780958296.0,,-395.9138,,0.983,0.99,0.02,0.0,17684000.0
1,2008-06-01,86725053000.0,-5.464,,-473908421257.0,,-402.8222,,0.983,0.99,0.1,0.0,17684000.0
1,2008-07-02,86725053000.0,-5.709,,-495079357404.0,,-420.8175,,0.983,0.99,0.01,0.0,17684000.0
1,2008-08-01,86725053000.0,-6.078,,-527092642882.0,,-448.0287,,0.983,0.99,0.02,0.0,17684000.0
1,2008-09-01,86725053000.0,-6.444,,-558853024030.0,,-475.0251,,0.983,0.99,0.01,0.0,17684000.0
1,2008-10-01,86725053000.0,-6.649,,-576672251359.0,,-490.1714,,0.983,0.99,0.0,0.0,17684000.0
1,2008-10-31,86725053000.0,-6.66,,-577559457566.0,,-490.9255,,0.983,0.99,0.05,0.0,17684000.0
1,2008-12-01,86725053000.0,-6.572,,-569989298981.0,,-484.4909,,0.983,0.99,0.01,0.0,17684000.0
1,2008-12-31,86725053000.0,-6.479,0.211,-561919400199.0,28238100657.0,-477.6315,41.3863,0.983,0.99,0.01,0.47,17684000.0
